Object_Name	Parent_Object	Target_Object	Property	Date_From	Date_To	Value	Variable	Variable_Effect	Timeslice	Timeslice_Index	Group_id	Priority	Scenario
PT Onshore 805 40.5 -8.125 85M Generator LWST			Capacity Rating Factor	2010-01-01	2100-01-01	PT Onshore 805 40.5 -8.125 85M Windspeed	LWST Wind Power Curve	Lookup					
PT Onshore 805 40.5 -8.125 85M Generator NWST			Capacity Rating Factor	2010-01-01	2100-01-01	PT Onshore 805 40.5 -8.125 85M Windspeed	NWST Wind Power Curve	Lookup					
PT Onshore 805 40.5 -8.125 85M Generator HWST			Capacity Rating Factor	2010-01-01	2100-01-01	PT Onshore 805 40.5 -8.125 85M Windspeed	HWST Wind Power Curve	Lookup					
PT Onshore 805 40.5 -8.125 100M Generator LWST			Capacity Rating Factor	2010-01-01	2100-01-01	PT Onshore 805 40.5 -8.125 Base Wind Speed	LWST Wind Power Curve	Lookup					
PT Onshore 805 40.5 -8.125 100M Generator NWST			Capacity Rating Factor	2010-01-01	2100-01-01	PT Onshore 805 40.5 -8.125 Base Wind Speed	NWST Wind Power Curve	Lookup					
PT Onshore 805 40.5 -8.125 100M Generator HWST			Capacity Rating Factor	2010-01-01	2100-01-01	PT Onshore 805 40.5 -8.125 Base Wind Speed	HWST Wind Power Curve	Lookup					
PT Onshore 895 41.0 -7.5 70M Generator LWST			Capacity Rating Factor	2010-01-01	2100-01-01	PT Onshore 895 41.0 -7.5 70M Windspeed	LWST Wind Power Curve	Lookup					
PT Onshore 895 41.0 -7.5 70M Generator NWST			Capacity Rating Factor	2010-01-01	2100-01-01	PT Onshore 895 41.0 -7.5 70M Windspeed	NWST Wind Power Curve	Lookup					
PT Onshore 895 41.0 -7.5 70M Generator HWST			Capacity Rating Factor	2010-01-01	2100-01-01	PT Onshore 895 41.0 -7.5 70M Windspeed	HWST Wind Power Curve	Lookup					
PT Onshore 895 41.0 -7.5 85M Generator LWST			Capacity Rating Factor	2010-01-01	2100-01-01	PT Onshore 895 41.0 -7.5 85M Windspeed	LWST Wind Power Curve	Lookup					
PT Onshore 895 41.0 -7.5 85M Generator NWST			Capacity Rating Factor	2010-01-01	2100-01-01	PT Onshore 895 41.0 -7.5 85M Windspeed	NWST Wind Power Curve	Lookup					
PT Onshore 895 41.0 -7.5 85M Generator HWST			Capacity Rating Factor	2010-01-01	2100-01-01	PT Onshore 895 41.0 -7.5 85M Windspeed	HWST Wind Power Curve	Lookup					
PT Onshore 895 41.0 -7.5 100M Generator LWST			Capacity Rating Factor	2010-01-01	2100-01-01	PT Onshore 895 41.0 -7.5 Base Wind Speed	LWST Wind Power Curve	Lookup					
PT Onshore 895 41.0 -7.5 100M Generator NWST			Capacity Rating Factor	2010-01-01	2100-01-01	PT Onshore 895 41.0 -7.5 Base Wind Speed	NWST Wind Power Curve	Lookup					
